"colostrum","milky fluid secreted for the first day or two after parturition"
"detachment","coming apart"
"diffusion","the spread of social institutions (and myths and skills) from one society to another"
"dispersion","spreading widely or driving off"
"scattering","spreading widely or driving off"
"Diaspora","the dispersion of the Jews outside Israel; from the destruction of the temple in Jerusalem in 587-86 BC when they were exiled to Babylonia up to the present time"
"dissipation","breaking up and scattering by dispersion; ""the dissipation of the mist"""
"invasion","(pathology) the spread of pathogenic microorganisms or malignant cells to new sites in the body; ""the tumor''s invasion of surrounding structures"""
"irradiation","(physiology) the spread of sensory neural impulses in the cortex"
"extinction","complete annihilation; ""they think a meteor cause the extinction of the dinosaurs"""
"extermination","complete annihilation; ""they think a meteor cause the extinction of the dinosaurs"""
"Crucifixion","the death of Jesus on the cross"
"fatality","a death resulting from an accident or a disaster; ""a decrease in the number of automobile fatalities"""
"finish","the downfall of someone (as of persons on one side of a conflict); ""booze will be the finish of him""; ""it was a fight to the finish"""
"martyrdom","death that is imposed because of the person''s adherence of a religious faith or cause"
"megadeath","the death of a million people; ""they calibrate the effects of atom bombs in megadeaths"""
"passing","euphemistic expressions for death; ""thousands mourned his passing"""
"loss","euphemistic expressions for death; ""thousands mourned his passing"""
"departure","euphemistic expressions for death; ""thousands mourned his passing"""
"exit","euphemistic expressions for death; ""thousands mourned his passing"""
"expiration","euphemistic expressions for death; ""thousands mourned his passing"""
"going","euphemistic expressions for death; ""thousands mourned his passing"""
"release","euphemistic expressions for death; ""thousands mourned his passing"""
"doom","an unpleasant or disastrous destiny; ""everyone was aware of the approaching doom but was helpless to avoid it""; ""that''s unfortunate but it isn''t the end of the world"""
"doomsday","an unpleasant or disastrous destiny; ""everyone was aware of the approaching doom but was helpless to avoid it""; ""that''s unfortunate but it isn''t the end of the world"""
"destruction","an event (or the result of an event) that completely destroys something"
"demolition","an event (or the result of an event) that completely destroys something"
"wipeout","an event (or the result of an event) that completely destroys something"
"ravage","(usually plural) a destructive action; ""the ravages of time""; ""the depradations of age and disease"""
"depredation","(usually plural) a destructive action; ""the ravages of time""; ""the depradations of age and disease"""
"razing","the event of a structure being completely demolished and leveled"
"wrecking","the event of a structure being completely demolished and leveled"
"ruin","an event that results in destruction"
"ruination","an event that results in destruction"
"devastation","an event that results in total destruction"
"desolation","an event that results in total destruction"
"wrack","the destruction or collapse of something; ""wrack and ruin"""
"rack","the destruction or collapse of something; ""wrack and ruin"""
"disappearance","the event of passing out of sight"
"evanescence","the event of fading and gradually vanishing from sight; ""the evanescence of the morning mist"""
"vanishing","a sudden or mysterious disappearance"
"receding","a slow or gradual disappearance"
"fadeout","a slow or gradual disappearance"
"adversity","a stroke of ill fortune; a calamitous event; ""a period marked by adversities"""
"hardship","something that causes or entails suffering; ""I cannot think it a hardship that more indulgence is allowed to men than to women""- James Boswell; ""the many hardships of frontier life"""
"knock","a bad experience; ""the school of hard knocks"""
"vagary","an unexpected and inexplicable change in something (in a situation or a person''s behavior, etc.); ""the vagaries of the weather""; ""his wealth fluctuates with the vagaries of the stock market""; ""he has dealt with human vagaries for many years"""
