"venial","warranting only temporal punishment; ""venial sin"""
"spreading","spreading over a wide area; ""under the spreading chestnut tree""; ""the spreading circle of lamplight""; ""wide-spreading branches"""
"statewide","occurring or extending throughout a state; ""the statewide recycling program"""
"stretching(a)","extending far; ""beyond the misty gray of the rain he saw the stretching hutment""; ""wide-spreading plains"""
"sweeping","taking in or moving over (or as if over) a wide area; often used in combination; ""a sweeping glance""; ""a wide-sweeping view of the river"""
"narrow","not wide; ""a narrow bridge""; ""a narrow line across the page"""
"constricting","(of circumstances) tending to constrict freedom"
"constrictive","(of circumstances) tending to constrict freedom"
"narrowing","(of circumstances) tending to constrict freedom"
"narrowed","reduced in size as by squeezing together; ""his narrowed eyes"""
"slender","very narrow; ""a thin line across the page"""
"thin","very narrow; ""a thin line across the page"""
"strait","strict and severe; ""strait is the gate"""
"straplike","long and narrow like a strap; ""straplike leaves"""
"tapered","becoming gradually narrower; ""long tapering fingers""; ""trousers with tapered legs"""
"tapering","becoming gradually narrower; ""long tapering fingers""; ""trousers with tapered legs"""
"narrowing","becoming gradually narrower; ""long tapering fingers""; ""trousers with tapered legs"""
"wide","great in degree; ""won by a wide margin"""
"comfortable","more than adequate; ""the home team had a comfortable lead"""
"narrow","very limited in degree; ""won by a narrow margin""; ""a narrow escape"""
"bare(a)","just barely adequate or within a lower limit; ""a bare majority""; ""a marginal victory"""
"marginal","just barely adequate or within a lower limit; ""a bare majority""; ""a marginal victory"""
"wieldy","easy to handle or use or manage; ""a large but wieldy book"""
"manageable","easy to handle or use or manage; ""a large but wieldy book"""
"unwieldy","difficult to use or handle or manage because of size or weight or shape; ""we set about towing the unwieldy structure into the shelter""; ""almost dropped the unwieldy parcel"""
"unmanageable","difficult to use or handle or manage because of size or weight or shape; ""we set about towing the unwieldy structure into the shelter""; ""almost dropped the unwieldy parcel"""
"awkward","difficult to handle or manage especially because of shape; ""an awkward bundle to carry""; ""a load of bunglesome paraphernalia""; ""clumsy wooden shoes""; ""the cello, a rather ungainly instrument for a girl"""
"bunglesome","difficult to handle or manage especially because of shape; ""an awkward bundle to carry""; ""a load of bunglesome paraphernalia""; ""clumsy wooden shoes""; ""the cello, a rather ungainly instrument for a girl"""
"clumsy","difficult to handle or manage especially because of shape; ""an awkward bundle to carry""; ""a load of bunglesome paraphernalia""; ""clumsy wooden shoes""; ""the cello, a rather ungainly instrument for a girl"""
"ungainly","difficult to handle or manage especially because of shape; ""an awkward bundle to carry""; ""a load of bunglesome paraphernalia""; ""clumsy wooden shoes""; ""the cello, a rather ungainly instrument for a girl"""
"cumbersome","difficult to handle or use especially because of size or weight; ""a cumbersome piece of machinery""; ""cumbrous protective clothing"""
"cumbrous","difficult to handle or use especially because of size or weight; ""a cumbersome piece of machinery""; ""cumbrous protective clothing"""
"wigged","wearing a wig; ""the judges all wigged and robed"""
"peruked","wearing a wig popular for men in the 17th and 18th centuries"
"periwigged","wearing a wig popular for men in the 17th and 18th centuries"
"toupeed","wearing a small hairpiece to cover partial baldness"
"wigless","not wearing a wig"
"willing","disposed or inclined toward; ""a willing participant""; ""willing helpers"""
"consenting","having given consent; ""consenting adults"""
"disposed(p)","having made preparations; ""prepared to take risks"""
"fain","having made preparations; ""prepared to take risks"""
"inclined(p)","having made preparations; ""prepared to take risks"""
"prepared","having made preparations; ""prepared to take risks"""
"glad","(`lief'' is archaic) very willing; ""was lief to go""; ""glad to help"""
"lief(p)","(`lief'' is archaic) very willing; ""was lief to go""; ""glad to help"""
"ready","mentally disposed; ""he was ready to believe her"""
"volitional","with deliberate intention; ""a volitional act"""
"unwilling","not disposed or inclined toward; ""an unwilling assistant"""
"grudging","of especially an attitude; ""gave grudging consent""; ""grudging acceptance of his opponent''s victory"""
"loath","unwillingness to do something contrary to your custom; ""a reluctant smile""; ""loath to admit a mistake""; ""unwilling to face facts"""
"loth","unwillingness to do something contrary to your custom; ""a reluctant smile""; ""loath to admit a mistake""; ""unwilling to face facts"""
"reluctant","unwillingness to do something contrary to your custom; ""a reluctant smile""; ""loath to admit a mistake""; ""unwilling to face facts"""
"unintentional","without deliberate intent; ""my heart with unwilled love grew warm""- George Macdonald"
"unwilled","without deliberate intent; ""my heart with unwilled love grew warm""- George Macdonald"
"winged","having or as if having wings; ""the winged feet of Mercury"";"
"alar","having or resembling wings"
"alary","having or resembling wings"
"aliform","having or resembling wings"
"alate","having winglike extensions; ""alate leaves""; ""alate seeds of a maple tree"""
"alated","having winglike extensions; ""alate leaves""; ""alate seeds of a maple tree"""
"batwing","formed or shaped like a bat''s wing; ""a dress with batwing sleeves"""
"brachypterous","(especially of certain insects) having very short or rudimentary wings"
"flying","capable of or engaged in flight; ""the bat is a flying animal"""
"pinioned","(of birds) especially having the flight feathers"
"volant(ip)","with wings extended in a flying position"
"winglike","resembling a wing in shape or position"
"wingless","lacking wings"
"apterous","(of insects) without wings"
"apteral","(of insects) without wings"
"flightless","incapable of flying"
"wired","equipped with wire or wires especially for electric or telephone service; ""a well-wired house"""
"bugged","having hidden electronic eavesdropping devices; ""wired hotel rooms""; ""even the car is bugged"""
"connected","wired together to an alarm system; ""all the window alarms are connected"""
"stiffened","stiffened or reinforced with wire; ""stiffened brassieres"""
"wireless","having no wires; ""a wireless security system"""
"wise","having or prompted by wisdom or discernment; ""a wise leader""; ""a wise and perceptive comment"""
"omniscient","infinitely wise"
"perspicacious","acutely insightful and wise; ""much too perspicacious to be taken in by such a spurious argument""; ""observant and thoughtful, he was given to asking sagacious questions""; ""a source of valuable insights and sapient advice to educators"""
"sagacious","acutely insightful and wise; ""much too perspicacious to be taken in by such a spurious argument""; ""observant and thoughtful, he was given to asking sagacious questions""; ""a source of valuable insights and sapient advice to educators"""
"sapient","acutely insightful and wise; ""much too perspicacious to be taken in by such a spurious argument""; ""observant and thoughtful, he was given to asking sagacious questions""; ""a source of valuable insights and sapient advice to educators"""
"owlish","resembling an owl; solemn and wise in appearance"
"sapiential","characterized by wisdom, especially the wisdom of God; ""a sapiential government"""
"sage","having wisdom that comes with age and experience"
"foolish","devoid of good sense or judgment; ""foolish remarks""; ""a foolish decision"""
"absurd","completely devoid of wisdom or good sense; ""the absurd excuse that the dog ate his homework""; ""that''s a cockeyed idea""; ""ask a nonsensical question and get a nonsensical answer""; ""a contribution so small as to be laughable""; ""it is ludicrous to call a co"
"cockeyed","completely devoid of wisdom or good sense; ""the absurd excuse that the dog ate his homework""; ""that''s a cockeyed idea""; ""ask a nonsensical question and get a nonsensical answer""; ""a contribution so small as to be laughable""; ""it is ludicrous to call a co"
"derisory","completely devoid of wisdom or good sense; ""the absurd excuse that the dog ate his homework""; ""that''s a cockeyed idea""; ""ask a nonsensical question and get a nonsensical answer""; ""a contribution so small as to be laughable""; ""it is ludicrous to call a co"
"idiotic","completely devoid of wisdom or good sense; ""the absurd excuse that the dog ate his homework""; ""that''s a cockeyed idea""; ""ask a nonsensical question and get a nonsensical answer""; ""a contribution so small as to be laughable""; ""it is ludicrous to call a co"
"laughable","completely devoid of wisdom or good sense; ""the absurd excuse that the dog ate his homework""; ""that''s a cockeyed idea""; ""ask a nonsensical question and get a nonsensical answer""; ""a contribution so small as to be laughable""; ""it is ludicrous to call a co"
"ludicrous","completely devoid of wisdom or good sense; ""the absurd excuse that the dog ate his homework""; ""that''s a cockeyed idea""; ""ask a nonsensical question and get a nonsensical answer""; ""a contribution so small as to be laughable""; ""it is ludicrous to call a co"
"nonsensical","completely devoid of wisdom or good sense; ""the absurd excuse that the dog ate his homework""; ""that''s a cockeyed idea""; ""ask a nonsensical question and get a nonsensical answer""; ""a contribution so small as to be laughable""; ""it is ludicrous to call a co"
"preposterous","completely devoid of wisdom or good sense; ""the absurd excuse that the dog ate his homework""; ""that''s a cockeyed idea""; ""ask a nonsensical question and get a nonsensical answer""; ""a contribution so small as to be laughable""; ""it is ludicrous to call a co"
